unique_match_id,match_date,season_year,tour_type_human,surface,round,tournament,home_id,home_name,away_id,away_name,home_rank,away_rank,winner_code,home_win
28978580_2024_2,2024-11-02 07:05:00,2024,Wta Tour,Hard,Semi-Finals,Jiujiang WTA,369605,Bouzkova M.,988932,Golubic V.,,,2.0,0
44047600_2024_2,2024-11-02 08:30:00,2024,Wta Tour,Hard,Semi-Finals,Jiujiang WTA,685811,Siegemund L.,123538,Sramkova R.,,,2.0,0
53293953_2024_2,2024-11-02 09:00:00,2024,Wta Tour,Hard,Semi-Finals,Hong Kong WTA,425446,Shnaider D.,914953,Fernandez L.,,,1.0,1
17767509_2024_2,2024-11-02 15:15:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),716715,Sabalenka A.,809492,Zheng Q.,,,1.0,1
22347840_2024_2,2024-11-02 17:00:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),324333,Paolini J.,350535,Rybakina E.,,,1.0,1
27574925_2024_4,2024-11-02 20:05:00,2024,Wta Chall,Clay,Semi-Finals,Santa Cruz Chall. Women,741705,Arango E.,416641,Udvardy P.,,,1.0,1
40601864_2024_4,2024-11-02 23:00:00,2024,Wta Chall,Clay,Semi-Finals,Santa Cruz Chall. Women,762933,Semenistaja D.,384199,Todoni A. A.,,,2.0,0
87746628_2024_2,2024-11-03 08:10:00,2024,Wta Tour,Hard,Final,Hong Kong WTA,425446,Shnaider D.,970027,Boulter K.,,,1.0,1
72982143_2024_2,2024-11-03 08:40:00,2024,Wta Tour,Hard,Final,Jiujiang WTA,988932,Golubic V.,123538,Sramkova R.,,,1.0,1
47950826_2024_2,2024-11-03 12:45:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),139227,Swiatek I.,358837,Krejcikova B.,,,1.0,1
11327696_2024_4,2024-11-03 15:10:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),488683,Frey A.,681390,Lee G.,,,1.0,1
17512211_2024_4,2024-11-03 15:10:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),925025,Mateas M.,123431,Smith A.,,,2.0,0
47849667_2024_2,2024-11-03 15:40:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),296713,Gauff C.,814118,Pegula J.,,,1.0,1
42422769_2024_4,2024-11-03 15:40:03,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,612612,Torres Murcia M. C.,815073,Kudashova D.,,,2.0,0
72798575_2024_4,2024-11-03 15:45:03,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,394647,Monroy Y.,592762,Krywoj M. S.,,,1.0,1
80191242_2024_4,2024-11-03 15:55:03,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,806694,Estable L. J.,824350,Lares E.,,,1.0,1
81240453_2024_4,2024-11-03 16:30:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),175731,Appleton E.,557168,Hu V.,,,1.0,1
96959458_2024_4,2024-11-03 16:55:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,534553,Lodikova D.,136364,Herrero Linana A.,,,2.0,0
57674684_2024_2,2024-11-03 17:10:00,2024,Wta Tour,Hard,Semi-Finals,Merida WTA,337480,Sonmez Z.,914707,Korneeva A.,,,1.0,1
81877035_2024_4,2024-11-03 17:25:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,866621,Sanchez Uribe M. J.,876717,Kazionova E.,,,2.0,0
80951869_2024_4,2024-11-03 17:30:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,749101,Smith T. N.,873862,Alba Verastegui S.,,,1.0,1
63551713_2024_4,2024-11-03 18:00:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),877693,Moore T.,792466,Kaji H.,,,2.0,0
