unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
97831456_2024_3,500155,289341,171.0,190.0,Hard,2024,2024-08-09 22:00:00,Atp Chall,1,Wong C.,Tu L.
31675272_2024_3,924009,130717,295.0,196.0,Hard,2024,2024-08-09 23:45:00,Atp Chall,1,Basavareddy N.,Jubb P.
82259631_2024_3,574441,624813,281.0,130.0,Clay,2024,2024-08-10 11:05:00,Atp Chall,0,Landaluce M.,Dellien H.
43765570_2024_3,594536,137843,169.0,113.0,Clay,2024,2024-08-10 13:05:00,Atp Chall,0,Hassan B.,Marterer M.
52023841_2024_3,825354,783363,359.0,221.0,Clay,2024,2024-08-10 13:35:00,Atp Chall,0,Paulson A.,Gaubas V.
75494081_2024_1,374892,954504,33.0,65.0,Hard,2024,2024-08-10 15:00:00,Atp Tour,0,Cobolli F.,Rinderknech A.
77368168_2024_1,261903,723636,18.0,13.0,Hard,2024,2024-08-10 15:00:00,Atp Tour,1,Korda S.,Fritz T.
49766950_2024_1,134469,125963,81.0,6.0,Hard,2024,2024-08-10 15:00:00,Atp Tour,0,Kokkinakis T.,Hurkacz H.
78973391_2024_3,928358,927805,,,Hard,2024,2024-08-10 15:10:00,Atp Chall,1,Bellucci M.,Ymer E.
73009793_2024_3,385506,563110,,,Hard,2024,2024-08-10 15:10:00,Atp Chall,0,Bolt A.,Hong S. C.
51162617_2024_3,675276,838470,,,Hard,2024,2024-08-10 15:15:00,Atp Chall,0,Zhukayev B.,Gomez F. A.
68622660_2024_3,240504,552810,,,Hard,2024,2024-08-10 15:20:00,Atp Chall,0,Pouille L.,Royer V.
98927303_2024_3,847354,251549,290.0,298.0,Clay,2024,2024-08-10 15:40:00,Atp Chall,0,Blockx A.,Taberner C.
64109479_2024_3,895281,550326,423.0,243.0,Clay,2024,2024-08-10 16:05:00,Atp Chall,0,Sell K.,Mena F.
19785578_2024_1,853474,764898,42.0,46.0,Hard,2024,2024-08-10 16:30:00,Atp Tour,0,Davidovich Fokina A.,Arnaldi M.
16730797_2024_1,895687,433587,52.0,8.0,Hard,2024,2024-08-10 16:30:00,Atp Tour,0,Nakashima B.,Rublev A.
